Sample no.,wp_seedweight,wp_winglength,wp_droptime,rm_seedweight,rm_winglength,rm_droptime,gs_shelldiameter,gs_bandnumber,gs_bandwidth,apf_shelllength,apf_shellwidth,apf_lipthick,sj_toothheight,sj_toothlength,sj_rowlength,sj_mandheight,s1_largelength,s2_largelength,s1_smalllength,s2_smalllength,s1_largepal,s2_largepal,s1_smallpal,s2_smallpal,s1_largepadp,s2_largepadp,s1_smallpadp,s2_smallpadp
,0.0077,13.71,2.04,0.1059,26.78,1.44,21.33,5,2.74,59.96,37.86,5.56,6.07,5.52,53.38,20.91,54.61,53.46,31.86,33.03,2.67,4.36,2.67,2.3,15.44,14.72,9.75,7.43
,0.0076,11.65,2.73,0.1022,27.66,1.36,21.78,5,1.65,56.67,38.42,9.37,5.7,4.81,58.36,23.93,66.89,65.66,40.49,39,4.66,3.62,2.85,3.11,17.62,17.78,13.48,12.58
,0.0046,16.5,3.19,0.0782,22.98,1.49,24.36,1,1.46,56.56,35.1,3.55,5.7,4.79,55.74,19.3,64.37,64.79,37.9,35.88,4.5,4.62,3.06,2.96,16.44,14.9,8.2,8.01
,0.0088,16.19,2.83,0.083,23.4,1.39,21.27,5,2.85,52.4,37.12,6.07,6.24,7.14,63.72,24.17,53.14,53.61,38.3,38.31,3,3.22,4.01,4.32,12.87,12.13,13.2,12.73
,0.0031,11.57,3.65,0.0634,31.02,1.68,21.25,5,2.22,47.43,31.44,0.94,8.86,7.31,49.26,10.45,2.008,2.033,1.711,1.734,1.204,0.806,1.154,1.097,0.759,0.838,0.586,0.608
,0.0101,12,2.53,0.1171,38.63,1.43,20.76,13,2.69,55.58,35.12,0,5.4,6.72,42.86,6.34,2.249,2.236,1.622,1.629,1.424,1.345,1.163,1.067,0.783,0.814,0.485,0.485
,0.0038,11.62,3.8,0.0958,35.15,1.74,19.65,5,1.18,54.05,30.23,2.98,6.01,6.49,57.74,21.18,2.172,2.2,1.681,1.726,1.364,1.503,1.067,1.087,0.811,0.849,0.608,0.618
,0.0088,13.5,2.08,0.0762,33.19,0.86,21.21,12,2.72,45.88,25.72,0,5.95,7.37,40.9,16.45,2.088,2.081,1.608,1.59,1.281,1.306,1.154,1.064,0.744,0.779,0.46,0.501
,0.0088,14.14,1.9,0.1254,38.02,1.16,20.53,11,1.69,47.29,28.21,2.3,8.84,7.06,53.25,19.61,2.561,2.57,1.239,1.261,1.732,1.647,0.868,0.914,0.813,0.906,0.354,0.395
,0.0089,0.568,3.68,0.0508,0.885,1.86,0.785,5,0.114,2.378,1.498,0.137,5.81,6.59,48.49,15.54,2.008,2.033,1.711,1.734,1.204,0.806,1.154,1.097,0.759,0.838,0.586,0.608
,0.0087,0.531,2.34,0.0944,1.019,1.55,0.776,1,0.048,1.958,1.308,0.195,5.63,7.02,50.04,17.18,2.249,2.236,1.622,1.629,1.424,1.345,1.163,1.067,0.783,0.814,0.485,0.485
,0.0036,0.478,4.05,0.0983,1.152,1,0.825,5,0.075,2.39,1.455,0.134,7.02,6.53,46.63,16.51,2.172,2.2,1.681,1.726,1.364,1.503,1.067,1.087,0.811,0.849,0.608,0.618
,0.0091,0.526,2.28,0.0764,0.947,0.85,0.797,5,0.099,2.126,1.132,0.077,7.7,5.76,42.97,15.12,2.088,2.081,1.608,1.59,1.281,1.306,1.154,1.064,0.744,0.779,0.46,0.501
,0.0091,0.475,2.29,0.0699,0.848,1.67,0.834,5,0.109,1.947,0.784,0.028,6.06,6.72,15.67,18.84,2.561,2.57,1.239,1.261,1.732,1.647,0.868,0.914,0.813,0.906,0.354,0.395
